fish,stage,day,mean_y,median_y,std_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_σ_μ_y,median_σ_μ_y,mean_σ_μ_hdi_3,median_σ_μ_hdi_3,mean_σ_μ_hdi_97,median_σ_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday,μ_hdi_3_gamma_medians,μ_hdi_97_gamma_medians,μ_hdi_3_gamma_means,μ_hdi_97_gamma_means,y_gamma_means,y_gamma_medians
14,ReRotation,9.0,6.907992761666667,6.1189713605,2.08717345727828,3.1779999999999995,3.178,2.575,2.575,3.706,3.706,2.385,2.385,1.925,1.925,2.8379999999999996,2.838,4.4295,4.441,0.642,0.6605000000000001,8.852500000000001,8.836,52,3.266991993617988,4.740105111613969,3.266991993617988,4.740105111613969,7.296672363865933,6.549643484859779
14,ReRotation,10.0,3.386651922,2.6894215245,1.311789513650526,3.157,3.157,2.574,2.574,3.7419999999999995,3.742,2.37,2.37,1.9240000000000002,1.924,2.8250000000000006,2.825,4.441,4.442,0.7253333333333334,0.702,8.901833333333334,8.9195,53,3.2655810499284215,4.7631696929327765,3.2655810499284215,4.763169692932772,3.6868463387739814,3.0471833661274377
14,ReRotation,11.0,2.9562614925,2.9798645005,0.5371381273937299,3.139,3.139,2.546,2.546,3.7580000000000005,3.758,2.356,2.356,1.92,1.92,2.813,2.813,4.394,4.4145,0.5956666666666667,0.56,8.720166666666666,8.7195,54,3.2396089796222736,4.769945832368026,3.2396089796222736,4.769945832368026,3.0193667718124875,3.042498789578847
14,ReRotation,12.0,2.6991079485,2.5793032555,0.647032162674058,3.1229999999999998,3.123,2.446,2.446,3.701,3.701,2.343,2.343,1.909,1.909,2.799,2.799,4.382000000000001,4.3865,0.7130000000000001,0.716,8.78,8.7895,55,3.1489578040325634,4.713780970828082,3.1489578040325634,4.713780970828082,2.7973216985071603,2.681616955696145
14,ReRotation,13.0,11.682568503666667,8.4641820995,5.979985248297826,3.109,3.109,2.423,2.423,3.711,3.711,2.332,2.332,1.914,1.914,2.796,2.796,4.363666666666667,4.3580000000000005,0.6808333333333333,0.6415,8.754166666666668,8.7335,56,3.1324798754430625,4.720547863611559,3.1324798754430625,4.720547863611559,13.370760083007713,10.544789074472076
21,Baseline,1.0,4.846632445833333,3.924534487,2.8645058587340153,3.759,3.759,2.257,2.257,4.981,4.981,4.064,4.064,2.885,2.885,5.472,5.472,6.422499999999999,6.4295,0.38833333333333336,0.3835,13.913666666666666,13.896,1,3.5911267538556024,7.361930969337148,3.5911267538556024,7.361930969337148,5.7385487608979755,4.940265265345245
21,Baseline,2.0,8.231999486833333,7.5591007595,4.6800225483568205,3.738,3.738,2.685,2.685,4.767,4.767,3.791,3.791,2.882,2.882,4.732,4.732,6.086166666666667,6.091,0.4271666666666667,0.4285,13.052166666666666,13.0835,2,3.926502649181506,6.735156942263801,3.926502649181506,6.735156942263801,9.65219612541985,9.060742674937714
21,Baseline,3.0,5.555161592166667,3.9275886480000004,4.084595060887868,3.727,3.727,2.8379999999999996,2.838,4.578,4.578,3.609,3.609,2.858,2.858,4.39,4.39,5.943666666666666,5.962,0.4523333333333333,0.4555,12.512166666666667,12.596,3,4.0346101260115494,6.374564571708607,4.0346101260115494,6.374564571708607,7.009656336611232,5.662803118165909
21,Baseline,4.0,3.0933385424999997,3.085496621,0.5315281676250703,3.719,3.719,2.9730000000000003,2.973,4.489,4.489,3.4730000000000003,3.473,2.801,2.801,4.185,4.185,5.808,5.8185,0.5298333333333334,0.5115000000000001,12.151166666666667,12.0785,4,4.1096422626508895,6.178649517755736,4.1096422626508895,6.178649517755736,3.152577434453169,3.1448781096541047
21,Baseline,5.0,5.735731667333333,4.3877725825,3.176218435952354,3.7129999999999996,3.713,3.0239999999999996,3.024,4.379,4.379,3.363,3.363,2.737,2.737,4.011,4.011,5.691833333333334,5.676,0.5908333333333333,0.5680000000000001,11.790833333333333,11.779,5,4.113108848922858,5.984495427900968,4.113108848922853,5.984495427900968,6.682642887671994,5.5086595740660025
