fish,stage,day,plotday,trial,EST,yds,distance
fish10,ReRotation,7,57,2,1.0,-1.944696151,5.096324795
fish10,ReRotation,7,57,3,1.0,-0.627158196,3.144212216
fish10,ReRotation,7,57,4,0.0,-13.13222211,5.993868081
fish10,ReRotation,7,57,5,0.0,-17.21727525,6.567235418
fish10,ReRotation,7,57,6,1.0,-2.718180978,3.572391776
fish10,ReRotation,8,58,1,0.0,14.11470174,4.930684456
fish10,ReRotation,8,58,2,1.0,-0.758021545,3.529151908
fish10,ReRotation,8,58,3,0.0,30.62086551,8.649238514
fish10,ReRotation,8,58,4,0.655632172,-6.601831206,4.856183303
fish10,ReRotation,8,58,5,0.319471512,8.992852152,2.737134019
fish10,ReRotation,8,58,6,0.234079514,10.01715614,3.317682555
fish10,ReRotation,9,59,1,0.794840012,4.655336858,2.839785256
fish10,ReRotation,9,59,2,0.0,28.71939063,9.504654999
fish10,ReRotation,9,59,3,0.138931427,10.10534011,4.148551355
fish10,ReRotation,9,59,4,1.0,2.394892962,3.809329632
fish10,ReRotation,9,59,5,0.0,-8.239526558,3.956909583
fish10,ReRotation,9,59,6,0.757332001,-4.795287351,4.405841451
fish10,ReRotation,10,60,1,0.0,19.3528859,6.683467833
fish10,ReRotation,10,60,2,0.852642212,4.20101367,2.49678606
fish10,ReRotation,10,60,3,0.425367508,8.201619331,2.598321369
fish10,ReRotation,10,60,4,0.304775391,9.133172032,2.753466631
fish10,ReRotation,10,60,5,0.0,14.99860408,8.504775125
fish10,ReRotation,10,60,6,0.433387909,8.217428062,2.764576159
fish10,ReRotation,11,61,1,1.0,-0.858833586,2.808264048
fish10,ReRotation,11,61,2,0.450554047,-8.953768996,5.874463618
fish10,ReRotation,11,61,3,0.0,-17.00636996,6.338546748
fish10,ReRotation,11,61,4,0.0,-18.64541477,6.786330991
fish10,ReRotation,11,61,5,0.795326385,5.330247744,2.667785758
fish10,ReRotation,11,61,6,0.555601273,7.277199586,3.262597554
fish10,ReRotation,12,62,1,1.0,0.689146433,2.547503375
fish10,ReRotation,12,62,2,0.0,-22.57502545,5.393672484
fish10,ReRotation,12,62,3,0.0,-13.81250894,4.370324554
fish10,ReRotation,12,62,4,0.726699982,-5.963935104,2.934468049
